23,59,47,5.22,0,0,0,0,0,0,-8.63,-1.26,5.02,-5.36,58.45,-38.78,-0.32,-0.07,0.12,23.9,1024.88
23,59,47,5.32,0,0,0,0,0,0,-7.88,-1.96,3.02,-25.18,75.18,-14.59,0.2,0.8,0.16,24,1024.81
23,59,47,5.42,0,0,0,0,0,0,-9.89,5.49,-0.9,-3.45,109,-105,0.38,-0.04,0.28,24.1,1025.2
23,59,47,5.52,0,0,0,0,0,0,-13.57,-0.08,10.51,-7.45,123.73,-67.76,0.26,-0.05,0.06,24.2,1025.29
23,59,47,5.63,0,0,0,0,0,0,-9.02,0.35,4.75,8.91,93.82,-94.49,0.39,-0.33,0.36,24,1025.13
23,59,47,5.73,0,0,0,0,0,0,-8.59,0.63,4.24,29.82,14.82,-109.29,0.56,0.11,0.15,23.9,1024.92
23,59,47,5.83,0,0,0,0,0,0,-10,1.14,5.14,36.27,-16.55,-93.78,0.43,0.28,0.12,23.9,1024.85
23,59,48,5.93,0,0,0,0,0,0,-9.14,-0.75,3.37,40.55,-34.91,-62.55,0.35,0.26,-0.2,24,1024.94
23,59,48,6.03,0,0,0,0,0,0,-11.41,6.12,-12.4,45,-34.45,-42.96,-1.29,-0.69,-0.06,24,1025.03
23,59,48,6.13,0,0,0,0,0,0,-7.37,-2.28,7.77,39.64,-38.82,-38.78,0.37,-0.45,0.62,24,1025.03
23,59,48,6.23,0,0,0,0,0,0,-7.85,1.57,4.98,36.64,-40.55,-37.55,0.35,-0.58,0.22,24,1025.16
23,59,48,6.33,0,0,0,0,0,0,-8,1.22,2.71,31.73,-40.36,-38.78,0.03,0.14,0.01,24.1,1025.08
23,59,48,6.43,0,0,0,0,0,0,-8.04,6.04,-0.12,33.36,-40.18,-39.9,-0.31,0.51,-0.05,24.2,1025.2
23,59,48,6.53,0,0,0,0,0,0,-8.67,2.86,4.75,35.27,-38.45,-42.04,-0.22,0.43,-0.29,24.2,1025.43
23,59,48,6.63,0,0,0,0,0,0,-9.45,2.28,5.02,38.45,-37.18,-48.27,0.03,-0.24,0.11,24.2,1025.45
23,59,48,6.73,0,0,0,0,0,0,-8.83,2.43,3.8,36.36,-35.91,-50.82,0.19,0.31,0.11,24.3,1025.44
23,59,48,6.84,0,0,0,0,0,0,-8.24,1.06,4.47,37,-31.45,-52.76,0.01,0.09,0.12,24.3,1025.63
23,59,49,6.94,0,0,0,0,0,0,-10.51,3.18,4.71,38.27,-33.73,-53.47,-0.28,-0.14,0.25,24.3,1025.61
23,59,49,7.04,0,0,0,0,0,0,-9.02,3.02,5.96,37.82,-37.64,-53.06,-0.54,-0.13,0.25,24.4,1025.7
23,59,49,7.14,0,0,0,0,0,0,-8.43,2.51,5.69,37.73,-40.18,-52.35,-0.2,-0.15,0.22,24.4,1025.79
23,59,49,7.24,0,0,0,0,0,0,-8.51,1.18,5.06,37,-42.18,-48.67,-0.1,0.33,-0.02,24.4,1025.87
23,59,49,7.34,0,0,0,0,0,0,-9.02,-0.82,4.08,38.64,-43.55,-45.92,0.03,0.54,0.1,24.5,1025.93
23,59,49,7.44,0,0,0,0,0,0,-10.71,3.22,6.39,40.36,-36.64,-32.45,0.1,0.88,-0.13,24.5,1025.96
23,59,49,7.54,0,0,0,0,0,0,-8.36,1.84,2.71,41.27,-34.27,-28.47,-0.29,0.29,-0.13,24.4,1025.91
23,59,49,7.64,0,0,0,0,0,0,-9.45,0.59,4.75,42.55,-29.82,-24.18,-0.27,0.2,-0.25,24.4,1025.73
23,59,49,7.74,0,0,0,0,0,0,-9.81,1.18,3.02,43.45,-28.09,-23.67,-0.09,-0.01,-0.11,24.4,1025.65
23,59,49,7.84,0,0,0,0,0,0,-9.45,0.86,3.18,44.55,-25.55,-22.04,-0.12,0.31,-0.14,24.3,1025.54
23,59,50,7.95,0,0,0,0,0,0,-9.53,0.39,3.84,45,-23.73,-20.51,-0.27,0.08,-0.24,24.3,1025.37
23,59,50,8.05,0,0,0,0,0,0,-10.28,0.86,4.43,45.45,-21.36,-21.12,-0.24,-0.7,-0.2,24.3,1025.35
23,59,50,8.15,0,0,0,0,0,0,-9.1,1.37,2.79,44.82,-20.18,-23.67,-0.37,-0.49,0.12,24.2,1025.41
23,59,50,8.25,0,0,0,0,0,0,-9.57,1.77,4.08,43.27,-18.73,-25.61,-0.38,0.06,0.45,24.2,1025.45
23,59,50,8.35,0,0,0,0,0,0,-9.34,-0.43,4.71,42.82,-19,-25.71,-0.09,0.21,0.07,24.2,1025.51
23,59,50,8.45,0,0,0,0,0,0,-9.96,0.04,5.02,41.91,-18.64,-25.31,-0.09,-0.33,0.18,24.2,1025.71
23,59,50,8.55,0,0,0,0,0,0,-9.61,-0.51,2.55,41.09,-18.27,-26.43,-0.38,0.21,0.28,24.3,1025.74
23,59,50,8.65,0,0,0,0,0,0,-7.88,-0.75,5.22,42.09,-18.55,-24.08,0.58,0.66,0.07,24.3,1025.91
23,59,50,8.75,0,0,0,0,0,0,-9.92,1.41,5.41,43.27,-19,-21.94,0.29,-0.52,-0.36,24.4,1026.06
23,59,50,8.85,0,0,0,0,0,0,-10.28,0.43,5.26,40.73,-19,-26.33,-0.22,-1.69,0.3,24.5,1026.11
23,59,51,8.96,0,0,0,0,0,0,-8.28,1.26,3.22,38,-19.18,-29.39,0.22,-0.32,0.32,24.5,1026.09
23,59,51,9.06,0,0,0,0,0,0,-8.83,2.2,5.69,37,-19.91,-30,0.08,0.29,0.28,24.5,1026.09
23,59,51,9.16,0,0,0,0,0,0,-8.83,1.41,7.45,36.82,-20.36,-29.59,-0.03,0.05,0.08,24.5,1026.02
23,59,51,9.26,0,0,0,0,0,0,-8.24,2.75,3.14,36.18,-21.73,-28.78,0.27,0.21,0.5,24.4,1025.83
23,59,51,9.36,0,0,0,0,0,0,-7.88,0.35,5.18,35.55,-23.36,-27.24,-0.17,0.2,0.46,24.4,1025.84
23,59,51,9.46,0,0,0,0,0,0,-8.98,1.1,6.79,32.55,-23,-29.8,-0.4,-0.9,0.27,24.4,1025.82
23,59,51,9.56,0,0,0,0,0,0,-6.86,1.96,5.57,29.64,-22.91,-32.04,-0.43,-0.61,0.19,24.5,1025.94
23,59,51,9.66,0,0,0,0,0,0,-8.16,2.47,8.51,25.82,-21.09,-35.2,-0.19,-1,0.13,24.5,1026.12
